Message 1
Message Value: 00000000000000000000000000000000
Hash Iteration Trace:
 i  A_reg      B_reg      C_reg      D_reg      constant[i]   F             random   word[random]   F+A_reg+constant[i]+word[random]   step[i]   rotated
47  98dfdd2c   b299063c   9e73c403   fc512051   c4ac5665      d0bbe26e      2        00000000       2e4815ff                           23        ff97240a
48  fc512051   b2302a46   b299063c   9e73c403   f4292244      41253dc2      3        00000000       319f8057                            6        67e015cc
49  9e73c403   1a104012   b2302a46   b299063c   432aff97      ed46d395      2        00000000       cee5972f                           10        965cbf3b
50  b299063c   b06cff4d   1a104012   b2302a46   ab9423a7      e7ffbfef      1        00000000       462ce9d2                           15        74e92316
51  b2302a46   25562263   b06cff4d   1a104012   fc93a039      559340a2      0        00000000       04570b21                           21        64208ae1
52  1a104012   8976ad44   25562263   b06cff4d   655b59c3      eaa18f95      2        00000000       6a0d296a                            6        834a5a9a
53  b06cff4d   0cc107de   8976ad44   25562263   8f0ccc92      579f729a      3        00000000       97193e79                           10        64f9e65c
54  25562263   71baee3a   0cc107de   8976ad44   ffeff47d      7b7af965      0        00000000       a0c11045                           15        8822d060
55  8976ad44   f9ddbe9a   71baee3a   0cc107de   85845dd1      8a451081      1        00000000       99401b96                           21        72d32803
56  0cc107de   6cb0e69d   f9ddbe9a   71baee3a   6fa87e4f      17284947      1        00000000       9391cf74                            6        e473dd24
57  71baee3a   5124c3c1   6cb0e69d   f9ddbe9a   fe2ce6e0      3b962578      0        00000000       ab7dfa92                           10        f7ea4aad
58  f9ddbe9a   490f0e6e   5124c3c1   6cb0e69d   a3014314      8a6bdcaf      3        00000000       274ade5d                           15        6f2e93a5
59  6cb0e69d   b83da213   490f0e6e   5124c3c1   4e0811a1      f7f0b051      2        00000000       b2a9a88f                           21        11f65535
60  5124c3c1   ca33f748   b83da213   490f0e6e   f7537e82      46ce55ca      0        00000000       8f46980d                            6        d1a60363
61  490f0e6e   9bd9faab   ca33f748   b83da213   bd3af235      15e808a7      1        00000000       1c32094a                           10        c8252870
62  b83da213   63ff231b   9bd9faab   ca33f748   2ad7d2bb      ec26d114      2        00000000       cf3c45e2                           15        22f1679e
63  ca33f748   86f08ab9   63ff231b   9bd9faab   eb86d391      8509ace6      3        00000000       3ac477bf                           21        f7e7588e
 0  9bd9faab   7ed7e347   86f08ab9   63ff231b   d76aa478      07f88219      0        00000000       7b3d213c                            7        9e909e3d
Digest: 9bd9faab7ed7e34786f08ab963ff231b


Message 2
Message Value: aaaaaaaabbbbbbbbccccccccdddddddd
Hash Iteration Trace:
 i  A_reg      B_reg      C_reg      D_reg      constant[i]   F             random   word[random]   F+A_reg+constant[i]+word[random]   step[i]   rotated
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 0  67452301   efcdab89   98badcfe   10325476   d76aa478      98badcfe      0        aaaaaaaa       82154f21                            7        0aa790c1
 1  10325476   fa753c4a   efcdab89   98badcfe   e8c7b756      eacfe8bc      1        bbbbbbbb       9f85b043                           12        5b0439f8
 2  98badcfe   55797642   fa753c4a   efcdab89   242070db      faf5bdcb      2        cccccccc       849dd870                           17        b0e1093b
 3  efcdab89   065a7f7d   55797642   fa753c4a   c1bdceee      fc7d7642      3        dddddddd       8be6ce96                           22        a5a2f9b3
 4  fa753c4a   abfd7930   065a7f7d   55797642   f57c0faf      56587f72      1        bbbbbbbb       02058726                            7        02c39301
 5  55797642   aec10c31   abfd7930   065a7f7d   4787c62a      aadb7b7c      0        aaaaaaaa       f2876292                           12        76292f28
 6  065a7f7d   24ea3b59   aec10c31   abfd7930   a8304613      afd54831      3        dddddddd       3c3deb9e                           17        d73c787b
 7  abfd7930   fc26b3d4   24ea3b59   aec10c31   fd469501      26e33f71      2        cccccccc       9cf41a6e                           22        9ba73d06
 8  aec10c31   97cdf0da   fc26b3d4   24ea3b59   698098d8      b426bbd1      2        cccccccc       99352da6                            7        9a96d34c
 9  24ea3b59   3264c426   97cdf0da   fc26b3d4   8b44f7af      de46f3d2      3        dddddddd       6c5404b7                           12        404b76c5
10  fc26b3d4   72b03aeb   3264c426   97cdf0da   ffff5bb1      b76dc032      0        aaaaaaaa       5e3e7a61                           17        f4c2bc7c
11  97cdf0da   6772f767   72b03aeb   3264c426   895cd7be      72343263      1        bbbbbbbb       4f1ab6b6                           22        ad93c6ad
12  3264c426   1506be14   6772f767   72b03aeb   6b901122      67b2b6ef      3        dddddddd       e3856a14                            7        c2b50a71
13  72b03aeb   d7bbc885   1506be14   6772f767   fd987193      3542bf66      2        cccccccc       725838b0                           12        838b0725
14  6772f767   5b46cfaa   d7bbc885   1506be14   a679438e      5702f894      1        bbbbbbbb       20aaef44                           17        de884155
15  1506be14   39cf10ff   5b46cfaa   d7bbc885   49b40821      df76c8aa      0        aaaaaaaa       e8dc3989                           22        627a370e
16  d7bbc885   9c49480d   39cf10ff   5b46cfaa   f61e2562      38c9585d      1        bbbbbbbb       c25f01ff                            5        4be03ff8
17  5b46cfaa   e8298805   9c49480d   39cf10ff   c040b340      ac094805      0        aaaaaaaa       723b7599                            9        76eb32e4
18  39cf10ff   5f14bae9   e8298805   9c49480d   265e5a51      7c208809      3        dddddddd       ba2bd136                           14        f44dae8a
19  9c49480d   53626973   5f14bae9   e8298805   e9b6c7aa      57343ae9      2        cccccccc       aa01176c                           20        76caa011
20  e8298805   ca2d0984   53626973   5f14bae9   d62f105d      4a664992      0        aaaaaaaa       b3698c9e                            5        6d3193d6
21  5f14bae9   375e9d5a   ca2d0984   53626973   02441453      9b4f09d6      1        bbbbbbbb       b86394cd                            9        c7299b70
22  53626973   fe8838ca   375e9d5a   ca2d0984   d8a1e681      ff5a9cda      2        cccccccc       f82bb99a                           14        ee66be0a
23  ca2d0984   eceef6d4   fe8838ca   375e9d5a   e7d3fbc8      ecceb4d0      3        dddddddd       7cad97f9                           20        7f97cad9
24  375e9d5a   6c86c1ad   eceef6d4   fe8838ca   21e1cde6      6ce6c69c      3        dddddddd       a4050fb9                            5        80a1f734
25  fe8838ca   ed28b8e1   6c86c1ad   eceef6d4   c33707d6      ec28b1e9      2        cccccccc       7ab4bf55                            9        697eaaf5
26  eceef6d4   56a763d6   ed28b8e1   6c86c1ad   f4d50d87      c5ae79c4      1        bbbbbbbb       632e39da                           14        8e7698cb
27  6c86c1ad   e51dfca1   56a763d6   ed28b8e1   455a14ed      f78ffbb7      0        aaaaaaaa       541b7cfb                           20        cfb541b7
28  ed28b8e1   b4d33e58   e51dfca1   56a763d6   a9e3e905      b59bbe71      2        cccccccc       19752d23                            5        2ea5a463
29  56a763d6   e378e2bb   b4d33e58   e51dfca1   fcefa3f8      f1dae2f9      3        dddddddd       234fc8a4                            9        9f914846
30  e51dfca1   830a2b01   e378e2bb   b4d33e58   676f02d9      c32aeaa3      0        aaaaaaaa       ba6294c7                           14        a531ee98
31  b4d33e58   283c1999   830a2b01   e378e2bb   8d2a4c8a      203a0999      1        bbbbbbbb       1df35036                           20        0361df35
32  e378e2bb   2b9df8ce   283c1999   830a2b01   fffa3942      80abca56      2        cccccccc       30ebb31f                            4        0ebb31f3
33  830a2b01   3a592ac1   2b9df8ce   283c1999   8771f681      39f8cb96      3        dddddddd       2252caf5                           11        9657a912
34  283c1999   d0b0d3d3   3a592ac1   2b9df8ce   6d9d6122      c17401dc      0        aaaaaaaa       01f82741                           16        274101f8
35  2b9df8ce   f7f1d5cb   d0b0d3d3   3a592ac1   fde5380c      1d182cd9      1        bbbbbbbb       0257196e                           23        b7012b8c
36  3a592ac1   aef30157   f7f1d5cb   d0b0d3d3   a4beea44      89b2074f      3        dddddddd       46a7fa31                            4        6a7fa314
37  d0b0d3d3   1972a46b   aef30157   f7f1d5cb   4bdecfa9      407070f7      2        cccccccc       29cce13f                           11        6709f94e
38  f7f1d5cb   807c9db9   1972a46b   aef30157   f6bb4b60      37fd3885      1        bbbbbbbb       e266156b                           16        156be266
39  aef30157   95e8801f   807c9db9   1972a46b   bebfbc70      0ce6b9cd      0        aaaaaaaa       2544223e                           23        1f12a211
40  1972a46b   b4fb2230   95e8801f   807c9db9   289b7ec6      a16f3f96      0        aaaaaaaa       8e280d71                            4        e280d718
41  807c9db9   977bf948   b4fb2230   95e8801f   eaa127fa      b6685b67      1        bbbbbbbb       dd41dcd5                           11        0ee6aeea
42  95e8801f   a662a832   977bf948   b4fb2230   d4ef3085      85e2734a      2        cccccccc       bd86f0ba                           16        f0babd86
43  b4fb2230   971d65b8   a662a832   977bf948   04881d05      a60434c2      3        dddddddd       3d6551d4                           23        ea1eb2a8
44  977bf948   813c1860   971d65b8   a662a832   d9d4d039      b043d5ea      1        bbbbbbbb       dd505b26                            4        d505b26d
45  a662a832   5641cacd   813c1860   971d65b8   e6db99e5      4060b715      0        aaaaaaaa       7849a3d6                           11        4d1eb3c2
46  971d65b8   a3607e8f   5641cacd   813c1860   1fa27cf8      741dac22      3        dddddddd       08bb6caf                           16        6caf08bb
47  813c1860   100f874a   a3607e8f   5641cacd   c4ac5665      e52e3308      2        cccccccc       f7e36e99                           23        4cfbf1b7
48  5641cacd   5d0b7901   100f874a   a3607e8f   f4292244      4d907e3b      3        dddddddd       75d94929                            6        76524a5d
49  a3607e8f   d35dc35e   5d0b7901   100f874a   432aff97      a2f682fe      2        cccccccc       564ecdf0                           10        3b37c159
50  100f874a   0e9584b7   d35dc35e   5d0b7901   ab9423a7      7da845a1      1        bbbbbbbb       f507ac4d                           15        d626fa83
51  5d0b7901   e4bc7f3a   0e9584b7   d35dc35e   fc93a039      e22bfb0c      0        aaaaaaaa       e675bef0                           21        de1cceb7
52  d35dc35e   c2d94df1   e4bc7f3a   0e9584b7   655b59c3      174700c3      2        cccccccc       1ccceab0                            6        333aac07
53  0e9584b7   f613f9f8   c2d94df1   e4bc7f3a   8f0ccc92      3d8ab40c      3        dddddddd       b90ae332                           10        2b8ccae4
54  e4bc7f3a   21a0c4dc   f613f9f8   c2d94df1   ffeff47d      cbb50f26      0        aaaaaaaa       5b0c2d87                           15        16c3ad86
55  c2d94df1   38647262   21a0c4dc   f613f9f8   85845dd1      184cb2bb      1        bbbbbbbb       1c661a38                           21        47038cc3
56  f613f9f8   7f67ff25   38647262   21a0c4dc   6fa87e4f      c71b8d45      1        bbbbbbbb       e893c147                            6        24f051fa
57  21a0c4dc   a458511f   7f67ff25   38647262   fe2ce6e0      98bc22ba      0        aaaaaaaa       63347920                           10        d1e4818c
58  38647262   763cd2ab   a458511f   7f67ff25   a3014314      52e483e4      3        dddddddd       0c281737                           15        0b9b8614
59  7f67ff25   81d858bf   763cd2ab   a458511f   4e0811a1      adc32c54      2        cccccccc       480009e6                           21        3cc90001
60  a458511f   bea158c0   81d858bf   763cd2ab   f7537e82      3e3b256b      0        aaaaaaaa       84919fb6                            6        2467eda1
61  763cd2ab   e3094661   bea158c0   81d858bf   bd3af235      418ebfa1      1        bbbbbbbb       30c2403c                           10        0900f0c3
62  81d858bf   ec0a3724   e3094661   bea158c0   2ad7d2bb      0e57f15e      2        cccccccc       87d4e9a4                           15        74d243ea
63  bea158c0   60dc7b0e   ec0a3724   e3094661   eb86d391      90f4ccba      3        dddddddd       18fad6e8                           21        dd031f5a
 0  e3094661   3ddf9a68   60dc7b0e   ec0a3724   d76aa478      e0dc3f0c      0        aaaaaaaa       45fad48f                            7        fd6a47a2
Digest: e30946613ddf9a6860dc7b0eec0a3724


Message 3
Message Value: 1109200100face009119110088cafe88
Hash Iteration Trace:
 i  A_reg      B_reg      C_reg      D_reg      constant[i]   F             random   word[random]   F+A_reg+constant[i]+word[random]   step[i]   rotated
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 0  67452301   efcdab89   98badcfe   10325476   d76aa478      98badcfe      0        11092001       e873c478                            7        39e23c74
 1  10325476   29afe7fd   efcdab89   98badcfe   e8c7b756      b99dbb8b      1        00face00       b3929557                           12        29557b39
 2  98badcfe   53056336   29afe7fd   efcdab89   242070db      adcdebbd      2        91191100       fbc24a96                           17        952df784
 3  efcdab89   e8335aba   53056336   29afe7fd   c1bdceee      418de777      3        88cafe88       7be46076                           22        1d9ef918
 4  29afe7fd   05d253d2   e8335aba   53056336   f57c0faf      521772b6      1        00face00       723e3862                            7        1f1c3139
 5  53056336   24ee850b   05d253d2   e8335aba   4787c62a      ccd35bb2      0        11092001       7869a513                           12        9a513786
 6  e8335aba   bf3fbc91   24ee850b   05d253d2   a8304613      24eec743      3        88cafe88       3e1d6698                           17        cd307c3a
 7  05d253d2   8c7038cb   bf3fbc91   24ee850b   fd469501      acbebd81      2        91191100       40f0b754                           22        d5103c2d
 8  24ee850b   618074f8   8c7038cb   bf3fbc91   698098d8      9e3fb8c9      2        91191100       bdc7e7ac                            7        e3f3d65e
 9  bf3fbc91   45744b56   618074f8   8c7038cb   8b44f7af      c90070d9      3        88cafe88       9c5023a1                           12        023a19c5
10  8c7038cb   47ae651b   45744b56   618074f8   ffff5bb1      652451f2      0        11092001       029d066f                           17        0cde053a
11  618074f8   548c6a55   47ae651b   45744b56   895cd7be      45fc6113      1        00face00       31d47bc9                           22        f24c751e
12  45744b56   46d8df73   548c6a55   47ae651b   6b901122      45ae6a59      3        88cafe88       7f7dc559                            7        bee2acbf
13  47ae651b   05bb8c32   46d8df73   548c6a55   fd987193      549cee77      2        91191100       2afcd625                           12        cd6252af
14  548c6a55   d31ddee1   05bb8c32   46d8df73   a679438e      05d98d32      1        00face00       01da0915                           17        122a03b4
15  46d8df73   e547e295   d31ddee1   05bb8c32   49b40821      c1bdcea3      0        11092001       6353d638                           22        8e18d4f5
16  05bb8c32   7360b78a   e547e295   d31ddee1   f61e2562      7742b694      1        00face00       74173628                            5        82e6c50e
17  d31ddee1   f6477c98   7360b78a   e547e295   c040b340      f667759a      0        11092001       9acf27bc                            9        9e4f7935
18  e547e295   9496f5cd   f6477c98   7360b78a   265e5a51      9407fd98      3        88cafe88       28793906                           14        4e418a1e
19  7360b78a   e2d87feb   9496f5cd   f6477c98   e9b6c7aa      e2d0fdcd      2        91191100       d1018e01                           20        e01d1018
20  f6477c98   c2f59003   e2d87feb   9496f5cd   d62f105d      e2dc9a23      0        11092001       c05c4719                            5        0b88e338
21  9496f5cd   ce7e733b   c2f59003   e2d87feb   02441453      c27df32b      1        00face00       5a53cb4b                            9        a79696b4
22  e2d87feb   761509ef   ce7e733b   c2f59003   d8a1e681      4e1f633b      2        91191100       9ab2daa7                           14        b6a9e6ac
23  c2f59003   2cbef09b   761509ef   ce7e733b   e7d3fbc8      3c3f78df      3        88cafe88       6fd40332                           20        3326fd40
24  ce7e733b   5fe5eddb   2cbef09b   761509ef   21e1cde6      5eaff9db      3        88cafe88       d7db3984                            5        fb67309a
25  761509ef   5b4d1e75   5fe5eddb   2cbef09b   c33707d6      5b4d1d51      2        91191100       25b24016                            9        64802c4b
26  2cbef09b   bfcd4ac0   5b4d1e75   5fe5eddb   f4d50d87      1fcd5ae4      1        00face00       425c2706                           14        09c19097
27  5fe5eddb   c98edb57   bfcd4ac0   5b4d1e75   455a14ed      ed8c5ad5      0        11092001       a3d57d9e                           20        d9ea3d57
28  5b4d1e75   a37918ae   c98edb57   bfcd4ac0   a9e3e905      e34b9997      2        91191100       7995b211                            5        32b6422f
29  bfcd4ac0   d62f5add   a37918ae   c98edb57   fcefa3f8      e27f5afd      3        88cafe88       2807483d                            9        0e907a50
30  c98edb57   e4bfd52d   d62f5add   a37918ae   676f02d9      f43f527d      0        11092001       364650ae                           14        942b8d91
31  a37918ae   78eb62be   e4bfd52d   d62f5add   8d2a4c8a      70bbc7bc      1        00face00       a259faf4                           20        af4a259f
32  d62f5add   2835885d   78eb62be   e4bfd52d   fffa3942      b4613fce      2        91191100       1ba3e4ed                            4        ba3e4ed1
33  e4bfd52d   e273d72e   2835885d   78eb62be   8771f681      b2ad3dcd      3        88cafe88       a7aa0803                           11        50401d3d
34  78eb62be   32b3f46b   e273d72e   2835885d   6d9d6122      f8f5ab18      0        11092001       f0878ef9                           16        8ef9f087
35  2835885d   c1ade4f2   32b3f46b   e273d72e   fde5380c      116dc7b7      1        00face00       38835620                           23        101c41ab
36  e273d72e   d1ca269d   c1ade4f2   32b3f46b   a4beea44      22d43604      3        88cafe88       32d1f5fe                            4        2d1f5fe3
37  32b3f46b   fee98680   d1ca269d   c1ade4f2   4bdecfa9      ee8e44ef      2        91191100       fe3a1a03                           11        d0d01ff1
38  c1ade4f2   cfb9a671   fee98680   d1ca269d   f6bb4b60      e09a066c      1        00face00       99fe04be                           16        04be99fe
39  d1ca269d   d478406f   cfb9a671   fee98680   bebfbc70      e528609e      0        11092001       86bb63ac                           23        d6435db1
40  fee98680   aabb9e20   d478406f   cfb9a671   289b7ec6      b17a783e      0        11092001       ea089d85                            4        a089d85e
41  cfb9a671   4b45767e   aabb9e20   d478406f   eaa127fa      3586a831      1        00face00       f0dc449c                           11        e224e786
42  d478406f   2d6a5e04   4b45767e   aabb9e20   d4ef3085      cc94b65a      2        91191100       0715384e                           16        384e0715
43  aabb9e20   65b86519   2d6a5e04   4b45767e   04881d05      03974d63      3        88cafe88       3ba60710                           23        881dd303
44  4b45767e   edd6381c   65b86519   2d6a5e04   d9d4d039      a5040301      1        00face00       cb1917b8                            4        b1917b8c
45  2d6a5e04   9f67b3a8   edd6381c   65b86519   e6db99e5      1709eead      0        11092001       3c590697                           11        c834b9e2
46  65b86519   679c6d8a   9f67b3a8   edd6381c   1fa27cf8      152de63e      3        88cafe88       2353c6d7                           16        c6d72353
47  edd6381c   2e7390dd   679c6d8a   9f67b3a8   c4ac5665      d6884eff      2        91191100       1a23ee80                           23        400d11f7
48  9f67b3a8   6e80a2d4   2e7390dd   679c6d8a   f4292244      d0902228      3        88cafe88       ecebf69c                            6        3afda73b
49  679c6d8a   a97e4a0f   6e80a2d4   2e7390dd   432aff97      977ecdfb      2        91191100       d35f4c1c                           10        7d30734d
50  2e7390dd   26aebd5c   a97e4a0f   6e80a2d4   ab9423a7      1e81b770      1        00face00       f98439f4                           15        1cfa7cc2
51  6e80a2d4   43a93a1e   26aebd5c   a97e4a0f   fc93a039      710702a2      0        11092001       ed2465b0                           21        b61da48c
52  a97e4a0f   f9c6deaa   43a93a1e   26aebd5c   655b59c3      ba7ee4b5      2        91191100       5a719987                            6        9c6661d6
53  26aebd5c   962d4080   f9c6deaa   43a93a1e   8f0ccc92      47b91b4b      3        88cafe88       863fa3c1                           10        fe8f0618
54  43a93a1e   94bc4698   962d4080   f9c6deaa   ffeff47d      0090275d      0        11092001       553275f9                           15        3afcaa99
55  f9c6deaa   cfb8f131   94bc4698   962d4080   85845dd1      7b46b9e7      1        00face00       fb8cc462                           21        8c5f7198
56  962d4080   5c1862c9   cfb8f131   94bc4698   6fa87e4f      b0e30ade      1        00face00       b7b397ad                            6        ece5eb6d
57  94bc4698   48fe4e36   5c1862c9   cfb8f131   fe2ce6e0      24e72c37      0        11092001       c8d979b0                           10        65e6c323
58  cfb8f131   aee51159   48fe4e36   5c1862c9   a3014314      e719d349      3        88cafe88       e29f0616                           15        830b714f
59  5c1862c9   31f082a8   aee51159   48fe4e36   4e0811a1      1914a2b0      2        91191100       544e281a                           21        034a89c5
60  48fe4e36   353b0c6d   31f082a8   aee51159   f7537e82      44cb6c47      0        11092001       96265900                            6        89964025
61  aee51159   bed14c92   353b0c6d   31f082a8   bd3af235      cbe471ba      1        00face00       38ff4348                           10        fd0d20e3
62  31f082a8   bbde6d75   bed14c92   353b0c6d   2ad7d2bb      450fb365      2        91191100       32f119c8                           15        8ce41978
63  353b0c6d   48c286ed   bbde6d75   bed14c92   eb86d391      f230da98      3        88cafe88       9bbdb91e                           21        23d377b7
 0  bed14c92   6c95fea4   48c286ed   bbde6d75   d76aa478      dbca87f5      0        11092001       830f9900                            7        87cc8041
Digest: bed14c926c95fea448c286edbbde6d75
