expected,verdict,score,reason,query
attack,ANOMALOUS,0.662330,Isolation Forest,040.MF.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,041.WX.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,042.A3.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,043.DF.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,044.FV.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,045.ZG.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,046.KY.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,047.3P.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,048.OJ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,049.SD.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,050.2Y.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,051.LM.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,052.NF.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,053.RW.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,054.KL.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,055.BU.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,056.GI.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,057.WH.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,058.A4.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,059.TP.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,060.OR.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,061.XX.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,062.I6.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,063.LQ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,064.MU.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,065.QH.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,066.YI.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,067.CD.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,068.JR.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,069.AV.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,070.GU.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,071.2S.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,072.J5.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,073.HU.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,074.2I.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,075.CE.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,076.IV.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,077.GU.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,078.6I.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,079.CP.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,080.JZ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,081.GF.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,082.SI.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,083.D4.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,084.EB.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,085.YH.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,086.E3.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,087.3K.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,088.MV.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,089.RX.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,090.IP.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,091.LO.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,092.MV.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,093.2H.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,094.O3.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,095.3S.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,096.NM.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,097.WX.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,098.GZ.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,099.LD.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,100.OV.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,101.ZG.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,102.S5.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,103.DZ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,104.EB.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,105.6C.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,106.A4.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,107.3B.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,108.NV.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,109.YG.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,110.YZ.mine.io
attack,ANOMALOUS,0.653306,Isolation Forest,111.JN.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,112.OJ.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,113.SW.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,114.G3.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,115.3S.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,116.MQ.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,117.6W.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,118.C3.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,119.DJ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,120.MN.mine.io
attack,ANOMALOUS,0.652095,Isolation Forest,121.SS.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,122.YN.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,123.BS.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,124.FR.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,125.YH.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,126.E3.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,127.3U.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,128.N5.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,129.2H.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,130.S4.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,131.DF.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,132.EB.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,133.6C.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,134.AQ.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,135.2M.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,136.IF.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,137.JV.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,138.GU.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,139.SP.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,140.J5.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,141.GS.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,142.AR.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,143.CF.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,144.JV.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,145.HS.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,146.AT.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,147.2O.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,148.JR.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,149.MS.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,150.A7.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,151.BA.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,152.OB.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,153.ZG.mine.io
attack,ANOMALOUS,0.689765,Isolation Forest,154.62.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,155.TF.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,156.MN.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,157.2D.mine.io
attack,ANOMALOUS,0.689765,Isolation Forest,158.23.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,159.TF.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,160.OR.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,161.3W.mine.io
attack,ANOMALOUS,0.683156,Isolation Forest,162.64.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,163.TL.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,164.FV.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,165.ZW.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,166.KY.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,167.3V.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,168.OJ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,169.UX.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,170.I6.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,171.JA.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,172.PQ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,173.QH.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,174.GY.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,175.LN.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,176.OB.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,177.WG.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,178.KL.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,179.LS.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,180.MV.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,181.RW.mine.io
attack,ANOMALOUS,0.689765,Isolation Forest,182.64.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,183.TE.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,184.HV.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,185.QW.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,186.Y2.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,187.LD.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,188.MU.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,189.WD.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,190.IM.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,191.RM.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,192.OB.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,193.ZG.mine.io
attack,ANOMALOUS,0.689765,Isolation Forest,194.65.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,195.DP.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,196.OR.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,197.4X.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,198.AZ.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,199.JA.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,200.PQ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,201.QE.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,202.GT.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,203.CB.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,204.KN.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,205.JV.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,206.ET.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,207.2P.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,208.JU.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,209.QE.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,210.IR.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,211.KN.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,212.J4.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,213.QE.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,214.6T.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,215.SM.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,216.LE.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,217.QH.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,218.YI.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,219.DQ.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,220.OJ.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,221.XW.mine.io
attack,ANOMALOUS,0.653306,Isolation Forest,222.UZ.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,223.LD.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,224.OQ.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,225.6W.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,226.4Z.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,227.LU.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,228.O5.mine.io
attack,ANOMALOUS,0.652095,Isolation Forest,229.XX.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,230.E2.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,231.ZN.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,232.ON.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,233.SW.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,234.G5.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,235.LS.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,236.NF.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,237.2H.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,238.SI.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,239.D4.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,240.EB.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,241.ZW.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,242.C3.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,243.LQ.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,244.NR.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,245.SS.mine.io
attack,ANOMALOUS,0.672599,Isolation Forest,246.24.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,247.TF.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,248.MN.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,249.XX.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,250.EZ.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,251.B5.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,252.MF.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,253.WG.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,254.SY.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,255.3F.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,256.FQ.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,257.2D.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,258.EL.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,259.DQ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,260.OJ.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,261.XX.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,262.I3.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,263.3U.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,264.PF.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,265.YG.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,266.KI.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,267.D4.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,268.EB.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,269.BU.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,270.YQ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,271.KT.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,272.KN.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,273.JE.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,274.6T.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,275.2N.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,276.EB.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,277.CE.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,278.KT.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,279.KP.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,280.EB.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,281.HU.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,282.4T.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,283.CZ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,284.EB.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,285.6C.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,286.A4.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,287.DS.mine.io
attack,ANOMALOUS,0.672816,Isolation Forest,288.N5.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,289.VG.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,290.KY.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,291.3U.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,292.HV.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,293.XG.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,294.K5.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,295.DX.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,296.N5.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,297.ZG.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,298.WL.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,299.LT.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,300.MV.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,301.RX.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,302.K4.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,303.TJ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,304.OR.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,305.4S.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,306.A7.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,307.BA.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,308.ON.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,309.QW.mine.io
attack,ANOMALOUS,0.689765,Isolation Forest,310.24.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,311.DM.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,312.MU.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,313.WX.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,314.EZ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,315.LD.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,316.N5.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,317.ZG.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,318.IP.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,319.LB.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,320.NR.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,321.UW.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,322.GZ.mine.io
attack,ANOMALOUS,0.662330,Isolation Forest,323.JM.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,324.GQ.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,325.ZC.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,326.Y4.mine.io
attack,ANOMALOUS,0.668738,Isolation Forest,327.DS.mine.io
attack,ANOMALOUS,0.679325,Isolation Forest,328.N5.mine.io
